,Country ,Capital ,Native /Official Language
102,ÉireIreland,Baile Átha CliathDublin,"IrishEnglish
"
103,Isle of ManEllan Vannin,DouglasDoolish,"EnglishManx
"
104,"Yisra'elישראלIsraʼiylإسرائيل
",YerushalayimירושליםAl-Qudsالقُدس,"Hebrew(Hebrew script)Arabic(Arabic script)
"
105,Italia,Roma,"Italian
"
106,Jamaica,Kingston,"English
"
107,NihonNippon日本,Tōkyō東京,"Japanese(Japanese characters)
"
108,JerseyJerseyJèrri,St. HelierSaint HélierSaint Hélyi,"EnglishFrenchJèrriais
"
109,Al-’Urdunالأردن,‘Ammānعمان,"Arabic(Arabic script)
"
110,QazaqstanҚазақстанKazakhstánКазахстан,Nur-SultanНұр-СұлтанNur-SultanНур-Султан,"Kazakh(Cyrillic script)Russian(Cyrillic script)
"
111,Kenya,Nairobi,"English, Swahili
"
112,Kiribati,Tarawa,"English, Gilbertese
"
113,Chosŏn as called in NK조선 / 朝鮮Bukchosŏn북조선,P'yŏngyang평양 / 平壌,"Korean(Hangul/Hanja)
"
114,Hanguk as called in SK한국 / 韓國Namhan남한,Seoul서울,"Korean(Hangul/Hanja)
"
115,Kosova  Kosovo  Косово,Prishtinë  Priština  Приштина,"Albanian  Serbian (Latin)  Serbian (Cyrillic)
"
116,Dawlat ul-Kuwaytدولة الكويتil-ikwetالكويت,Madiinat ul-Kuwaytمدينة الكويتid-diiraالديرة,"Arabic (Official)(Arabic script) Kuwaiti Gulf Arabic (native)(Arabic script)
"
117,KyrgyzstanКыргызстанKirgizijaКиргизия,BishkekБишкекBishkekБишкек,"Kyrgyz(Cyrillic script)Russian(Cyrillic script)
"
118,Laoປະເທດລາວ,"Vientiane, Vieng Chan, or Wīang Chanວຽງຈັນ","LaoLao alphabet
"
119,Latvija,Rīga,"Latvian
"
120,Lubnānلبنان  Liban ,Bayrūtبيروت  Beyrouth ,"Arabic(Arabic script)
French

"
121,Lesotho,Maseru,"Sesotho, English
"
122,Liberia,Monrovia,"English
"
123,LibyaⵍⵉⴱⵢⴰLībiyāليبيا,ṬrablesⵟⵔⴰⴱⵍⴻⵙTarabulusطرابلس,"Berber language(Tifinagh script)Arabic(Arabic script)
"
124,Liechtenstein,Vaduz,"German
"
125,Lietuva,Vilnius,"Lithuanian
"
126,LëtzebuergLuxemburgLuxembourg,LëtzebuergLuxemburgLuxembourg,"LuxembourgishGermanFrench
"
127,Oumún澳門  Macau,Oumún澳門  Macau,"Cantonese(Traditional Chinese characters) Portuguese 
"
128,MadagasikaraMadagascar,AntananarivoAntananarivo/Tananarive,"MalagasyFrench
"
129,Malawi Malaŵi ,LilongweLilongwe,"English  Chichewa 
"
130,Malaysia,Kuala Lumpur,"Malay
"
131,Dhivehi Raajjeދިވެހިރާއްޖެ,Maléމާލެ,"Dhivehi(Thaana script)
"
132,MaliMali,BamakoBamakɔ,"FrenchBambara
"
